domain,site_type
www.southcom.mil,fed_gov_from_usa_dot_gov
www.srbc.net,fed_gov_from_usa_dot_gov
www.ssa.gov,fed_gov_from_usa_dot_gov
www.ssab.gov,fed_gov_from_usa_dot_gov
www.sss.gov,fed_gov_from_usa_dot_gov
www.state.gov,fed_gov_from_usa_dot_gov
www.state.nj.us,fed_gov_from_usa_dot_gov
www.stb.gov,fed_gov_from_usa_dot_gov
www.stennis.gov,fed_gov_from_usa_dot_gov
www.stratcom.mil,fed_gov_from_usa_dot_gov
www.supremecourtus.gov,fed_gov_from_usa_dot_gov
www.swpa.gov,fed_gov_from_usa_dot_gov
www.trade.gov,fed_gov_from_usa_dot_gov
www.transit.dot.gov,fed_gov_from_usa_dot_gov
www.transportation.gov,fed_gov_from_usa_dot_gov
www.treas.gov,fed_gov_from_usa_dot_gov
www.treasury.gov,fed_gov_from_usa_dot_gov
www.truman.gov,fed_gov_from_usa_dot_gov
www.tsa.gov,fed_gov_from_usa_dot_gov
www.ttb.gov,fed_gov_from_usa_dot_gov
www.tva.gov,fed_gov_from_usa_dot_gov
www.udall.gov,fed_gov_from_usa_dot_gov
www.us-cert.gov,fed_gov_from_usa_dot_gov
www.usace.army.mil,fed_gov_from_usa_dot_gov
www.usadf.gov,fed_gov_from_usa_dot_gov
www.usagm.gov,fed_gov_from_usa_dot_gov
www.usaid.gov,fed_gov_from_usa_dot_gov
www.usbg.gov,fed_gov_from_usa_dot_gov
www.usbr.gov,fed_gov_from_usa_dot_gov
www.usccr.gov,fed_gov_from_usa_dot_gov
www.uscfc.uscourts.gov,fed_gov_from_usa_dot_gov
www.uscg.mil,fed_gov_from_usa_dot_gov
www.uscirf.gov,fed_gov_from_usa_dot_gov
www.uscis.gov,fed_gov_from_usa_dot_gov
www.uscourts.cavc.gov,fed_gov_from_usa_dot_gov
www.uscourts.gov,fed_gov_from_usa_dot_gov
www.uscp.gov,fed_gov_from_usa_dot_gov
www.usda.gov,fed_gov_from_usa_dot_gov
www.usdoj.gov,fed_gov_from_usa_dot_gov
www.usfa.fema.gov,fed_gov_from_usa_dot_gov
www.usgs.gov,fed_gov_from_usa_dot_gov
www.ushmm.org,fed_gov_from_usa_dot_gov
www.usip.org,fed_gov_from_usa_dot_gov
www.usitc.gov,fed_gov_from_usa_dot_gov
www.usmc.mil,fed_gov_from_usa_dot_gov
www.usmint.gov,fed_gov_from_usa_dot_gov
www.usps.com,fed_gov_from_usa_dot_gov
www.uspto.gov,fed_gov_from_usa_dot_gov
www.ussc.gov,fed_gov_from_usa_dot_gov
www.ustaxcourt.gov,fed_gov_from_usa_dot_gov
www.ustda.gov,fed_gov_from_usa_dot_gov
www.ustr.gov,fed_gov_from_usa_dot_gov
www.ustranscom.mil,fed_gov_from_usa_dot_gov
www.usuhs.mil,fed_gov_from_usa_dot_gov
www.va.gov,fed_gov_from_usa_dot_gov
www.visitthecapitol.gov,fed_gov_from_usa_dot_gov
www.voanews.com,fed_gov_from_usa_dot_gov
www.wapa.gov,fed_gov_from_usa_dot_gov
www.whitehouse.gov,fed_gov_from_usa_dot_gov
www.whs.mil,fed_gov_from_usa_dot_gov
www.wilsoncenter.org,fed_gov_from_usa_dot_gov
www2.ed.gov,fed_gov_from_usa_dot_gov
